"id","lon","lat"
"89a8a021003ffff",-43.6924313995465,-22.9759841084959
"89a8a021007ffff",-43.6954640801702,-22.9743514474302
"89a8a02100bffff",-43.6893223100237,-22.974519059425
"89a8a02100fffff",-43.6923550010195,-22.9728864294502
"89a8a021013ffff",-43.6925077988055,-22.9790816755878
"89a8a021017ffff",-43.6955404938942,-22.9774490674972
"89a8a02101bffff",-43.6893986940133,-22.9776166857092
"89a8a021023ffff",-43.6984203088616,-22.9696209178638
"89a8a021027ffff",-43.7014529257732,-22.9679880364491
"89a8a02102bffff",-43.6953112552242,-22.9681558715882
"89a8a021033ffff",-43.6984967361542,-22.972718702639
"89a8a021037ffff",-43.7015293675264,-22.9710858740083
"89a8a02103bffff",-43.6953876673464,-22.9712537155618
"89a8a021043ffff",-43.6831804996187,-22.9746864356065
"89a8a02104fffff",-43.683104145691,-22.9715886909468
"89a8a021053ffff",-43.683256854242,-22.9777840679351
"89a8a021057ffff",-43.686289594336,-22.9761516057422
"89a8a02105bffff",-43.6801477489845,-22.9763188666841
"89a8a021063ffff",-43.6891695440782,-22.9683234710534
"89a8a02106fffff",-43.6890931622324,-22.9652255091216
"89a8a021073ffff",-43.6892459266177,-22.9714213211857
"89a8a021077ffff",-43.6922786031941,-22.9697886383136
"89a8a02107bffff",-43.6861368571934,-22.9699561228772
"89a8a021083ffff",-43.6956933233418,-22.9836439714694
"89a8a021087ffff",-43.6987260225593,-22.9820113850837
"89a8a02108bffff",-43.69258419876,-22.9821791307477
"89a8a02108fffff",-43.6956169082185,-22.9805465753252
"89a8a021097ffff",-43.698802452942,-22.9851087220664
"89a8a02109bffff",-43.6926605994862,-22.9852764737755
"89a8a0210abffff",-43.6985731642416,-22.9758163754457
"89a8a0210afffff",-43.7016058099648,-22.9741835996372
"89a8a0210b3ffff",-43.7017586970286,-22.9803787149248
"89a8a0210c3ffff",-43.6864423346247,-22.9823466403279
"89a8a0210c7ffff",-43.6894750788092,-22.9807141998382
"89a8a0210cbffff",-43.683333209349,-22.9808815884371
"89a8a0210cfffff",-43.6863659640799,-22.9792491789418
"89a8a0210d7ffff",-43.6895514644679,-22.9838116022104
"89a8a021143ffff",-43.7044090623305,-22.9632570686921
"89a8a021147ffff",-43.707441615412,-22.961623966914
"89a8a02114bffff",-43.7013000444472,-22.9617920254008
"89a8a021153ffff",-43.7044855177634,-22.9663550711945
"89a8a021157ffff",-43.7075180853011,-22.9647220220043
"89a8a02115bffff",-43.7013764846947,-22.9648900867791
"89a8a02118bffff",-43.7138126458619,-22.9707494831667
"89a8a0211c3ffff",-43.7076710269046,-22.9709177965931
"89a8a0211cbffff",-43.704561973866,-22.969452961605
"89a8a0211cfffff",-43.7075945557213,-22.9678199653285
"89a8a0211d3ffff",-43.7077474990487,-22.9740155158958
"89a8a0211d7ffff",-43.7107800847097,-22.9723825415612
"89a8a021223ffff",-43.6766570350345,-22.9593637031231
"89a8a021227ffff",-43.6796897239234,-22.9577310382688
"89a8a021267ffff",-43.6704390012983,-22.9564322597922
